url,review_date,user_name,user_city,user_city_full,review_title,review_text,review_status,rating,review_tag,bank_name,is_bank_ans,review_id
https://www.sravni.ru/bank/gazprombank/otzyvy/1006088/,2025-10-02T16:36:38.93082Z,Анна,Челябинск,"г Челябинск, Челябинская область","Банк длительное время не проводит операции, чтобы начислить проценты!","Взяла кредитную карту в данной организации. Являлась их клиентом более двух лет. Уточнила заранее про крайний день оплаты в льготном периоде. И наиболее быстрый способ зачисления средств. Сделала как сказал банк. В итоге деньги зачислены на счет кредитной карты, платеж был между счетами Газпромбанка, но банк все равно на них начислил проценты более 10 тыс руб. Отправляла выписку, где видно зачисление, сколько раз обращалась в банк. Ничего не изменилось. Также банк втихую списывает финансовую защиту и еще какие-то свои комиссии. Почему втихую? Так как на данные операции не распространяются мобильные уведомления за 99 руб в месяц об изменении баланса) это всегда будет сюрпризом) Будете писать заявление-отказ, будут обещать перевести в течении 7 раб дней. Но деньги так и не вернули.",rateChecking,1,creditCards,Газпромбанк,False,1006088
https://www.sravni.ru/bank/gazprombank/otzyvy/1005771/,2025-10-02T07:34:59.712527Z,Елена,Санкт-Петербург,г Санкт-Петербург,Мошенничество сотрудников банка,"Самый мошеннический банк.
19 Июля 2025 г. Ночью с моей дебетовой карты были списаны деньги. Эти операции я не совершала, было несколько оплат по QR -коду, всего на сумму 11597,05. Я написала заявление в банк. Но пришел ответ, что я столкнулась с мошенничеством. И что ничем они помочь мне не могут. Деньги мне не вернули. Картой газпромбанка начала пользоваться только что, перед этим были буквально 3 операции оплаты на кассе в магазине. Банковские карты я не теряла, пароли на вход никому не сообщала. Вариантов, что под моим паролем и логином кто-то мог зайти в интернет банк, просто быть не может. Я считаю, что это было мошенничество непосредственно сотрудников банка. И никто не несет за это ответственность.",rateRejected,0,businessRko,Газпромбанк,True,1005771
https://www.sravni.ru/bank/gazprombank/otzyvy/1005650/,2025-10-01T21:44:23.78782Z,Надежда,Нижний Новгород,"г Нижний Новгород, Нижегородская область",Заблокировали карту,"Картой пользовалась не долго. Использовала для переводов и вывода денежных средств, в том числе на загрантчную карту мужа. Карту заблокировали по подозрению в мощеннических действиях и запросили предоставить отчет о всех операциях и переводах. Первый раз такой треш.",rateRejected,0,remoteService,Газпромбанк,False,1005650
https://www.sravni.ru/bank/gazprombank/otzyvy/1005379/,2025-10-01T13:36:02.091067Z,Пользователь,Новокузнецк,"г Новокузнецк, Кемеровская область",Не выплатили проценты,"Несколько месяцев подряд я держал деньги на накопительном счёте. 1 Сентября 2025 года решил открыть новый вклад под 16% годовых. Открыл его через приложение мобильного банка — сумма вклада и проценты сразу отобразились на экране.
17 Сентября зашёл проверить вклад и оказалось, что он уже лежит не под 16%, а под 14,5%. Я написал в поддержку, на что мне ответили: «По условиям банка мы имеем право менять ставку в одностороннем порядке и не оповещать при этом клиента». Ну думаю, ладно, полтора процента переживу.
В итоге, когда пришло время получать проценты 1 октября, денег так и не оказалось. В течение дня я писал в поддержку, оператор ответил: «Ждите до конца дня». Ближе к вечеру я снова написал, они начали разбираться и выяснилось, что, по их данным, после того как я закрыл предыдущий вклад (на который начислили проценты под 20,5%), новый вклад я якобы не мог открыть под 16%.
Но как же я его не мог открыть, если я сделал это в приложении банка? После открытия вклад и прогнозируемые проценты у меня отображались в приложении, у меня есть скриншоты. Более того, я писал несколько раз в чат, и сотрудники банка подтверждали наличие вклада и ожидаемых процентов — переписка сохранена.
Делайте выводы: мало того что в течение месяца они могут снизить ставку, так ещё и потом вообще не выплачивают проценты. Вообще никому не рекомендую этот банк, обманывают.",rateChecking,1,savings,Газпромбанк,True,1005379
https://www.sravni.ru/bank/gazprombank/otzyvy/1004627/,2025-09-30T14:46:53.799953Z,Пользователь,Тюмень,"г Тюмень, Тюменская область","Не сервис, а полное ощущение сбора персональных данных","22.09.По акции на оф. Сайте оформили заявку на получение дебетовой карты (указано было, что для получения нужен только паспорт). 23.09. Позвонил сотрудник с некорпоративного номера телефона, сообщил, что необходимо при получении проходить по каким-то ссылкам. Перенесли получение карты. 25.09. Позвонила девушка с некорпоративного номера телефона, сообщила, что помимо ссылки, нужно фот-ся с паспортом. После долгих споров по поводу незаконности требования фото и обязанности банка предложить альтернативу клиенту, сказала, что можно получать лично в офисе банка. После звонка на горячую линию ими было обещано«позвонить в  29.09. Года с целью сообщить клиенту по какому адресу получить карту». 29.09 Никто не позвонил, зато 30.09.Позвонила девушка и стала настаивать на общении с неким Сергеем Владимировичем. На многократные намеки и прямые заявления, что она называет неверные имя и отчество клиента, вякнула «вы не прошли верификацию» и бросила трубку. После очередного звонка (плюс сообщения в службу безопасности банка и обещании обратиться в надзорные органы с целью установить факты слива персональных данных возможным мошенникам), очередного уведомления о том, что клиент желает получить карту 30.09 В отделении банка, сотрудница горячей линии сообщила, что карту выдадут, но она уже не будет подпадать под акции. В итоге заявка на получение карты была отменена, но информации от Газпромбанка не поступило ни на эл. Почту, ни на указанный номер телефона, понять, что заявка отменена, невозможно. Ощущение, что происходил исключительно сбор персональных данных. Отвратительное обслуживание, обратная связь бомбила смсками только когда предполагалась доставка с прохождениями по ссылками и фото с паспортом в развороте, полностью обратная связь пропала на этап«заберу карту лично в отделении». Кроме раздражения и сомнений в чистоплотности сотрудников данного банка, сомнений в сохранности персональных данных плюс нулевой результат в получении карты дебетовой, эмоций нет",rateRejected,0,debitCards,Газпромбанк,True,1004627
https://www.sravni.ru/bank/gazprombank/otzyvy/1003825/,2025-09-29T11:55:25.741609Z,Пользователь,Ставрополь,"г Ставрополь, Ставропольский край",Помогите пожалуйста вернуть половину зарплаты по аресту,Писали что платежа нет потом придет платеж все сделаем теперь пишут что сроков нету на расмотрении проблемы не законно так со мной поступать,rateApproved,1,remoteService,Газпромбанк,True,1003825
https://www.sravni.ru/bank/gazprombank/otzyvy/1003143/,2025-09-27T06:01:59.596911Z,Иван,Кемеровская область,область Кемеровская,Заблокировали карту ,"Здравствуйте,я Б. Иван Васильевич и не понял почему мою карту временно приостановили. Ни какие многократные переводы от 3-х лиц я не получал в исключение только одного,который пришел 14.09.25г. 30.000р за сдачу квартиры. Больше ни каких платежей я не принимал кроме своей мамы. Надеюсь вы разберетесь в этой проблемой,спасибо.",rateRejected,0,remoteService,Газпромбанк,True,1003143
https://www.sravni.ru/bank/gazprombank/otzyvy/1003025/,2025-09-26T16:31:59.99016Z,Пользователь,Ставрополь,"г Ставрополь, Ставропольский край",Банк украл деньги,"24 сентября 2025 года мной была произведен перевод денег в размере 899 рублей с карты, на баланс в онлайн кинотеатр Флекс, для оплаты за подписку. Хотел оплатить по акции, но мне отказали, т. К. Я не попадал под условия акции. Я попросил вернуть деньги обратно на карту. Они мне сразу оформили возрат денег. 26 Сентября 2025 года я получил смс. Я обрадовался, думал деньги вернулись. Но как оказалось, вместо поступления денег, банк почему-то снял с меня 899 рублей. Заказал выписку, в выписке все верно 24 сентября оплата -899 (расход), а 26 сентября возврат +899. Связался с техподдержкой. Они мне начали говорить про какое-то списания. Хотя я 26 никаких операций не производил. Я им сказал, что в их выписке банка тоже нет никаких списаний средств 26, т. К. Я их не делал. А 26 должно быть поступление средств. Сказали ждать какой-то перегрузки системы. Сейчас балансе карты у меня -885,35. На данный момент банк незаконно снял с меня деньги, т. Е. Украл у меня деньги в размере 899 рублей, а также не произвел возврат средств в размере 899 рублей. Если мне деньги не будут возвращены, буду писать жалобу в прокуратуру и Центробанк.",rateRejected,0,debitCards,Газпромбанк,True,1003025
https://www.sravni.ru/bank/gazprombank/otzyvy/1001932/,2025-09-24T08:38:17.187024Z,Пользователь,Саратов,"г Саратов, Саратовская область",Банк нарушающий законы РФ,"21.08.25 Написал в банк с просьбой закрыть счет дебетовой карты и предоставить информацию о закрытии на электронную почту, все-таки в 2025 году живем, не каменный век.

Банк ответил отказом, что никаких документов о закрытии и отсутствии претензий он не выдает.

Да еще и специально сделали так, что мой счет закрывали 30 дней, ни один банк такой ерундой не страдает. Я понимаю по счету были бы движения денег, но нет! Абсолютно не обоснованное затягивание.

На все мои требования предоставить документ о закрытии счета, операторы отвечали отказом, один из операторов без моего согласия заказал на меня платную справку, которая стоит 2500 руб!

Следующий оператор не смог утвердительно ответить, должен ли я буду за эту справку платить, так как это ошибка со стороны сотрудников банка.

Этому банку плевать на то что вы пойдете жаловаться в Центробанк или Роспотребнадзор. Крайне наглый, некомпетентный, не клиентоориентированный и не профессиональный банк, нарушающий законы гражданского кодекса, закон о защите прав потребителей, а так же предписания центробанка.

Я чувствую себя будто искупался в болоте, после сотрудничества с этим банком. Больше ни ногой сюда, я не верю что этот банк способен нормально функционировать. Вместо того чтобы как любой нормальный банк закрыть счет за пару дней и предоставить справку о закрытии, с подписью и печатью, они в наглую затягивают процесс и нарушают законы.

Соответствующие жалобы я направил в Центробанк и Роспотребнадзор, мне плевать что банк на это не реагирует, привыкли что народ у нас забитый!",rateRejected,0,remoteService,Газпромбанк,True,1001932
https://www.sravni.ru/bank/gazprombank/otzyvy/1001823/,2025-09-23T20:50:34.413534Z,Пользователь,Москва,г Москва,Платные привилегии,Случайно подключила платную подписку «Газпром бонус плюс»! И отключить её теперь невозможно! Что это за ловушка по списывание денег?,rateRejected,0,debitCards,Газпромбанк,True,1001823
https://www.sravni.ru/bank/gazprombank/otzyvy/1001482/,2025-09-23T07:46:06.068092Z,Максим,Ставрополь,"г Ставрополь, Ставропольский край",Блокировка карты,"Вчера мне заблокировали карту, по вообще непонятной причине! Пришла мне

зарплата на карту другого банка, просто перевела себе ее на карту газпром, так как в основном оплачиваю ею всегда, и спустя несколько часов заблокировали, позвонила в контактый центр, и мне сказали приехать в банк и все разблокируют, сказали никакие документы не нужны, и вот с соседнего региона я сегодня поехала в отделение, по пути мне присылают уведомления, что нужны какие-то документы предоставить, но вчера сказали что не нужно. Я уже слышала и знаю что сейчас из-за подозрительных операций могут блокировать, поэтому этой картой я только оплачивала! И переводила только себе на Сбер и обратно, и то от силы пару раз, еще раз отмечу что не на другое имя, а просто на свою же карту когда было нужно, но банк Газпром увидел основания заблокировать мне ее и понятное дело не в чате не по телефону никто ничего решать не хочет!

Уважаемые сотруднки банка, решите пожалуйста этот вопрос! Нет у меня возможности туда обратно кататься! Да и зачем мне какие-то документы предоставлять, это ведь просто абсурд какой-то! Ведь все мои операции это переводы между своими счетами и при этом очень редкие! Сейчас всю зарплату мне заблокировали! Проверьте пожалуйста сами мои операции! Я не знаю по какому конечно принципу блокируют, но если это сотрудник заблокировал то я не знаю что у него в голове! И какие подозрения у него могли появится!

Так же хотела бы рассказать о неприятном инциденте при получение карты, сотрудник который доставлял карту, с пеной у рта утверждал что если я не положу в первый день 10.000 Рублей в течение 10 часов то карту мне заблокируют! Это тоже полный бред

И всеми силами пытался подключить мне все что только можно",rateRejected,0,remoteService,Газпромбанк,True,1001482
https://www.sravni.ru/bank/gazprombank/otzyvy/1001062/,2025-09-22T10:47:50.382834Z,Пользователь,Балаково,"г Балаково, Саратовская область",Не открывают счёт после завершения процедуры банкротства,"Газпромбанк Банк ГПБ (АО) не снимает блокировку со счета.
В связи с прохождением мною процедуры банкротства, счета во всех банках на мое имя были заблокированы. 15.09.2025 Суд завершил процедуру банкротства. Определение о завершении процедуры банкротства было опубликовано на сайте ЕФРСБ 18.09.2025. В течении суток после публикации все банки разблокировали мои счета, кроме Газпромбанка. На данный момент 22.09.2025 Счет до сих пор заблокирован. При этом банк обязан открывать доступ к счетам до конца следующего дня после того, как определение о завершении банкротства появится на сайте ЕФРСБ. После моего обращения с отзывом на сайте Банки. Ру Газпромбанк предоставил ответ, что необходимо предоставить банку мои данные СНИЛС. Мною данные были предоставлены 21.09.2025 С помощью идентификации данных через госуслуги с предоставлением заявления от моего имени и подписаны моею электронной подписью. На данный момент данные СНИЛС в системе банка обновлены, но счет по-прежнему заблокирован.
В итоге, я не могу распоряжаться своими же денежными средствами, которые находятся на счету Газпромбанка Банк ГПБ (АО). Банк лишает меня и моего несовершеннолетнего ребенка средств к существованию. На основании статьи 161 Федерального закона, прошу снять блокировку с моего счета в Газпромбанке, так как это нарушает мое право на использование собственных денежных средств.
В отношении меня дело о банкротстве было завершено 15.09.2025. Данные о завершении банкротства были опубликованы на сайте ЕФРСБ 18.09.2025. Требую незамедлительно разблокировать счет!",rateRejected,0,other,Газпромбанк,True,1001062
https://www.sravni.ru/bank/gazprombank/otzyvy/1000557/,2025-09-20T20:12:14.157238Z,Пользователь,Москва,г Москва,Безобразная работа отделения и сотрудника,"18.09.2025Г. Открытия вклада в Газпромбанк, отд. Москва, Ленинградский пр-т д. 62.

Попала к неквалифицированному сотруднику П. В. В.

По каждому вопросу требовалось вмешательство второго сотрудника банка.

• Электронная очередь не соблюдалась. Вопрос «Почему? » — Проигнорировала.

• Заявила- в отделении банка я не могу открыть вклад.

• Заявила-да, я новый клиент, но получить повышенный % установленный банком- я не могу.

• Распечатала заявлении на открытие с данными, не соответствующими реальности. Категорически настаивала, чтобы я подписала, что подтверждаю и несу ответственность за эти ложные данные.

• Заявила- не даст мне на руки подлинник договора на открытие вклада и договор открытия текущего счета.

• Представиться- отказалась.

Итого при оформлении вклада 6 раз отвлекла второго сотрудника от работы + потраченные нервы, время клиента.

Работа П. В. В. — Безобразие, отпугивающее клиентов от услуг/вкладов в банке.

Благодарность Б. Е. Н. — Именно она решала все вопросы.",rateApproved,2,serviceLevel,Газпромбанк,True,1000557
https://www.sravni.ru/bank/gazprombank/otzyvy/1000087/,2025-09-19T12:10:42.081749Z,Ирина,Ульяновск,"г Ульяновск, Ульяновская область",Навязывание страховки,"Вклад «Новые деньги» невозможно оформить без подключения страховки от Согаз. То есть при оформлении вклада приходится заплатить еще 612р сверху. Типа можно отказаться от нее в течение 14 дней, но для этого придется ехать с документами в офис страховой компании- онлайн не получится! Считаю, что это навязывание услуги и буду писать жалобу в Центробанк.",rateRejected,0,savings,Газпромбанк,False,1000087
https://www.sravni.ru/bank/gazprombank/otzyvy/999494/,2025-09-18T08:10:19.954986Z,Павел,Костромская область,область Костромская,Не выполняют условия акции!,"В июне 2025 года я порекомендовал премиальную дебетовую карту другу согласно акции банка ""Приведи друга"". В июне и мною и другом условия были выполнены (траты у друга от 50000 и покупки по карте у меня), вознаграждение по акции другу пришло 9 июля 2025, а мне до сих пор не пришло. Начиная с июля я неоднократно обращался в чат поддержки банка, но каждый раз получал стандартные отписки от операторов - ждите. Скриншоты обращения в онлайн чат поддержки Газпромбанка прилагаю к отзыву.

Хочу отметить что другу полагается наименьшая часть вознаграждения по акции ""Приведи друга"", которую банк и выплатил, а моя часть вознаграждения так и не была получена.
Повторюсь, клиент которому я рекомендовал премиальную дебетовую карту банка выполнил ксловия акции в июне и в июле получил свое вознаграждение. Мне, как рекомендателю, необходимо совершить покупку на любую сумму по карте Газпромбанка в месяц выполнения условий другом условий, согласно п. 3.3. Условий проведения маркетинговой акции ""Приводи друзей в Газпромбанк"".
Мною совершались покупки по дебетовой карте Газпромбанка и в июне и в июле, согласно п. 3.3. Условий проведения маркетинговой акции ""Приводи друзей в Газпромбанк"".
Скриншоты сейчас прикреплю.

Не рекомендую Газпромбанк к сотрудничеству!",rateRejected,0,debitCards,Газпромбанк,True,999494
